position selCoef originGen type freq
107544 0.00630184 7998 m2 0.0015
108092 0.0247842 8000 m2 0.0005
110154 -0.038757 7995 m2 0.0055
110785 0.0327697 4234 m2 1
112153 0.0639097 7994 m2 0.0005
112775 0.163868 3894 m2 1
114329 0.249804 7423 m2 1
114549 0.0895151 5508 m2 1
115415 -0.00111609 7994 m2 0.0025
116339 0.187535 4075 m2 1
116485 0.0258874 8000 m2 0.0005
116560 0.204198 3778 m2 1
116586 0.131181 4375 m2 1
116591 0.219176 7898 m2 0.266
117186 0.0768489 7968 m2 0.0065
117545 -0.0473545 8000 m2 0.0005
118093 -0.0215403 7959 m2 0.001
119462 0.0430205 7999 m2 0.001
120060 0.316365 2199 m2 1
120718 0.0952239 7998 m2 0.0025
123195 0.15494 7261 m2 1
123332 0.200894 1849 m2 1
124654 0.0376618 7999 m2 0.0005
125433 0.113596 4752 m2 1
126698 0.0448035 8000 m2 0.0005
126709 0.180192 7997 m2 0.001
127104 0.114424 7987 m2 0.002
127266 -0.0312031 7976 m2 0.007
128293 -0.00439678 8000 m2 0.0005
131899 0.0976182 4046 m2 1
132859 0.245015 7858 m2 0.387
133120 -0.143663 8000 m2 0.0005
134986 0.125893 5664 m2 1
136365 0.257118 6177 m2 1
137141 0.0910085 6274 m2 1
137874 0.0409591 8000 m2 0.0005
138063 0.125702 5351 m2 1
138797 -0.0539622 7998 m2 0.0015
139316 -0.0233852 8000 m2 0.0005
140178 0.161753 5940 m2 1
141585 0.0940787 8000 m2 0.0005
145076 0.0653639 6767 m2 1
145137 0.0966953 7995 m2 0.0065
145211 0.172827 6576 m2 1
145932 0.0414672 7999 m2 0.001
200918 -0.216872 8000 m2 0.0005
203139 0.00773227 8000 m2 0.0005
203362 0.0898813 2458 m2 1
205066 0.158453 5814 m2 1
205209 0.113627 6388 m2 1
205449 0.116632 6572 m2 1
206295 0.0164607 7979 m2 0.0015
207579 0.0172476 7983 m2 0.004
208290 0.178304 3852 m2 1
209981 0.177333 7574 m2 1
210068 0.0750741 8000 m2 0.0005
210494 0.160094 6768 m2 1
211745 0.152763 6109 m2 1
212112 -0.0670574 8000 m2 0.0005
212439 0.124262 8000 m2 0.0005
214687 0.0937425 1678 m2 1
215106 0.1109 5588 m2 1
217539 0.119765 8000 m2 0.0005
218316 0.107318 7978 m2 0.008
221445 -0.187527 7972 m2 0.0005
222196 -0.224201 7971 m2 0.004
223007 0.179125 6281 m2 1
224289 0.0306305 7998 m2 0.0005
224562 0.208447 5966 m2 1
224713 0.0917945 7887 m2 0.1385
228164 0.106165 7122 m2 1
228405 0.173636 7999 m2 0.0005
229365 0.231267 4551 m2 1
229613 -0.0372805 8000 m2 0.0005
229724 0.133417 5164 m2 1
230582 0.119348 6497 m2 1
232302 0.0203036 7935 m2 0.025
234005 0.34862 6384 m2 1
234218 0.0930392 4976 m2 1
235216 0.217577 4759 m2 1
237130 0.242719 6250 m2 1
237147 -0.0824164 7999 m2 0.0005
237632 0.0502513 7999 m2 0.0005
238235 0.0568073 691 m2 1
242884 0.142464 1261 m2 1
243307 0.0135557 7999 m2 0.001
245566 -0.0563665 8000 m2 0.0005
246472 0.131155 3705 m2 1
246525 0.212089 2059 m2 1
246811 0.0760578 7741 m2 0.1885
247099 0.169781 7995 m2 0.0005
248897 0.0647592 7932 m2 0.01
300093 0.115915 4881 m2 1
300706 0.0213012 8000 m2 0.0005
302449 0.0310435 7746 m2 0.0615
302675 0.0263702 8000 m2 0.0005
302709 0.203669 4653 m2 1
304144 0.115843 2807 m2 1
304536 0.111218 6555 m2 1
304572 0.0375297 8000 m2 0.0005
305962 0.305123 7989 m2 0.006
306080 0.0142724 7999 m2 0.0015
306490 0.124323 6786 m2 1
307552 0.0534554 8000 m2 0.0005
310479 0.165681 6399 m2 1
311223 0.157458 7850 m2 0.087
311703 -0.142057 8000 m2 0.0005
313478 0.308385 5601 m2 1
313943 0.204724 5799 m2 1
314083 -0.0585642 7998 m2 0.002
314539 0.251874 7233 m2 1
314812 0.177104 2249 m2 1
315010 0.1427 4538 m2 1
317381 0.0493812 7923 m2 0.044
318585 -0.046417 8000 m2 0.0005
320587 0.208253 4449 m2 1
321114 -0.156991 7999 m2 0.001
321398 -0.150177 8000 m2 0.0005
322517 0.0586809 7975 m2 0.0215
323347 0.162384 1555 m2 1
324859 0.158778 6390 m2 1
325004 -0.0887969 7995 m2 0.0015
325198 0.0749133 7400 m2 0.9905
325330 0.0744992 7995 m2 0.0015
325793 0.0624659 4414 m2 1
325976 -0.0558791 7999 m2 0.0005
326521 0.14798 5427 m2 1
327107 -0.0885646 8000 m2 0.0005
329171 0.174977 5602 m2 1
329549 0.191692 4574 m2 1
330639 -0.017741 7996 m2 0.001
332624 0.00203881 8000 m2 0.0005
332908 0.0709753 5647 m2 1
336695 0.00429696 8000 m2 0.0005
337236 0.0544127 4563 m2 1
337705 0.109663 4534 m2 1
337751 0.0934474 6399 m2 1
338055 0.161162 7203 m2 1
338145 0.124763 7575 m2 1
338219 0.274128 3854 m2 1
340159 -0.0357652 8000 m2 0.0005
341861 -0.278154 8000 m2 0.0005
343543 0.245943 5833 m2 1
343800 0.204265 4061 m2 1
344610 -0.0109149 7982 m2 0.007
346656 0.207944 8000 m2 0.0005
347030 0.162841 4346 m2 1
348929 0.19925 7770 m2 0.9985

